PF;CFF;NOMENCLATURA;UN;PRICE UNIT(U$)
MS51957-44;96906;SCREW,MACHINE;EA;20,83
MS21042L6;80205;NUT,SELF-LOCKING,EXTENDED WASHER,HEXAGON;EA;3,79
354A;F0704;CUP,TAPERED ROLLER BEARING;EA;70,2
M5086/1-20-9;81343;WIRE,ELECTRICAL, COLOR WHITE, OUTSIDE DIA 0.078 (2 MM) IN, 20 AWG, TEMP RATING 105.0 DEG CELSIUS;EA;0,71
SL521C;53469;MICROCIRCUITO LINEAR;EA;461,95
MCF264;K0481;CABLE ASSEMBLY,COAXIAL, W6;EA;18162,24
MCS264;K0481;CABLE ASSEMBLY,COAXIAL, W5;EA;6040,92
MS29513-214;96906;O'RING-FUEL RESISTANT,RUBBER;EA;1,48
24583;74025;GASKET;EA;95,94
PE26018-3-8-8-0;S4956;RIVET,SOLID;EA;6,3
MS21922-10;30974;SLEEVE,CLINCH,TUBEFITTING;EA;30,88
F2-39-2;26433;ARMATURE,MOTOR;EA;6102,83
AN960-616;U0625;WASHER,FLAT;EA;14,77
372550;F1688;GARNITURE ROTATIVE;EA;10109,36
14-2131;S5496;BRACKET,STRUCTURALCOMPONENT,AIRCRAFT;EA;1344,56
MS25083-2BB4;96906;LEAD,ELECTRICAL, ROUND, DIAMETER 0.081 IN, LENGTH 3.390 IN, TERMINAL MS25036-112 BOTH ENDS;EA;10,25
MIL-H-8794-6;81349;"HOSE,NONMETALLIC, ROUND, BLACK, SIZE 6, DIAMETER: INSIDE 0.313(5/""6)IN, OUTSIDE 0.672 IN, MIL-H-8794";EA;33,56
2525107-61D;7213;JET,AIRFLOW;EA;459,82
LM-412-54;76005;SEAL, U/O IN WALL OF FIRE USED IN UPPER POSITION;EA;123,82
02W1507-231;736;ELEMENT FILTER;EA;2068,43
MS9136-01;96906;GASKET;EA;19,82
70123-02;0VTX0;AP BRINDLE CABLE;EA;5922,47
HL22-77-6-8;73197;PIN-RIVET;EA;51,47
HL22-5-6;73197;PIN-RIVET;EA;10,42
4A-0002-10-05;TV765;PINO CÔNICO ROSCADO;EA;118,13
DS3225-4;96906;BEARING,ROLLER,TAPERED;EA;240,96
371-2492-000;95105;CONNECTOR,PLUG,ELECTRICAL;EA;304,02
3799089;12204;BUSHING;EA;6,49
MS21905D5;96906;TEE,TUBE TO BOSS;EA;260,16
MS9714-06;96906;BOLT,MACHINE;EA;101,63
AN663C3;88044;BALL END,WIRE ROPE,SWAGING;EA;10,62
49F9798-52;92003;COCK,POPPET DRAIN;EA;195,46
B240-22;17472;SHIM;EA;409,82
B240-59;72121;SHIM;EA;292,18
2101-0072-001;S4956;GASKET;EA;560,66
4E1889-2;FA1D6;WIRING HARNESS;EA;375,88
6900163-001;3T949;LEFT SINGLE GLASS;EA;2800,12
CA33015;8118;COUPLER ASSY;EA;1268,43
2586258-1;7187;AMPLIFIER;EA;159506,97
4580;80204;LAMP,INCANDESCENT;EA;137,82
MS27224-6;96906;ELBOW,TUBE TO HOSE;EA;1061,44
4A-760-21-01;S4956;SUPPORT,DETEC INCEN;EA;202,63
742-20-80A;A2142;GASKET;EA;18,15
PE27017-7;S4956;CLAMP,LOOP;EA;85,28
MS21260L6LH;96906;TERMINAL,WIRE ROPE,STUD;EA;56,79
AN150539;88044;STUD,STEPPED;EA;9,3
42003;58880;CASE AND RING ASSY;EA;468,19
440-3-4;69705;ADAPTER,STRAIGHT,TUBE TO HOSE;EA;44,85
MS27381-4C;32142;ADAPTER,STRAIGHT,TUBE TO HOSE;EA;320,6
JAN1N3032B;81349;SEMICONDUCTOR;EA;78,57
MILH6000-20;A0189;HOSE,NONMETALLIC, INSIDE DIA 1.125 (1-1/8)IN, OUTSIDE DIA 1.625IN AND 1.750IN, FUEL /OIL RESISTANT;EA;102,66
AS21908W6;81343;ELBOW,TUBE;EA;149,36
MS21250-08018;96906;BOLT,SHEAR;EA;149,08
02-2001-20;3CPE0;INSULATION SLEEVING,ELECTRICAL, MATERIAL PAPER, INSIDE DIAMETER 0.188/195 IN, LENGTH 0.740/0.760 IN,;EA;35,75
AN669S3RH;88044;TERMINAL,WIRE ROPE,STUD, RIGHT-HAND, MATERIAL (CRESS), STEEL COMP 303SE AND STEEL COMP 305;EA;39,92
AN815-12D;88044;NIPPLE,TUBE;EA;65,31
AN4-12;88044;BOLT,MACHINE;EA;20,14
MS9923-05;81343;BOLT;EA;51,99
MS9575-05;96906;BOLT,MACHINE;EA;33,26
MS27240-2;96906;SWITCH,SENSITIVE;EA;1700,38
AN123158;88044;RIVET,SOLID;EA;3,55
00098619N;SFL35;WHEEL MOUSE OPTICAL;EA;584,35
P/S 860;70898;SEALING COMPOUND CLASS B-1/;EA;1729,36
CD12;99017;CAP,PROTECTIVE,DUSTAND MOISTURE SEAL;EA;0,46
B6553-2;17472;WASHER,SPRING TENSION;EA;1041,72
ES500-4-20;17472;SCREW,MACHINE;EA;237,77
SB3945;17472;FILTER,RADIO FREQUENCY INTERFERENCE;EA;750,18
05-340201;31435;SCREW,MACHINE;EA;9,87
00116295N;1651A;KEYBOARD 84 KEYS USB ENGLISH;EA;8337,05
A12007;72121;WASHER;EA;113,51
MS21924W10;96906;ADAPTER,STRAIGHT,TUBE TO BOSS;EA;140,48
68NA21J048;019L2;NUT,SELF-LOCKING,PLATE;EA;371,14
AN819-4D;88044;SLEEVE,COUPLING,FLE;EA;29,06
AN960C10;88044;WASHER,FLAT;EA;9,26
15175;F6137;LEVER REMOTE;EA;3447,39
AN310-6;88044;NUT,PLAIN,CASTELLATED,HEXAGON;EA;604,14
AE18927E;69705;SLEEVE;EA;383,5
M6363/1-1;81349;LAMP,INCANDESCENT;EA;120,61
MS25036-106;96906;TERMINAL,LUG;EA;50,23
56897;93835;SCREW,CAP,SOCKET HEAD;EA;268,13
MS25089-3C;96906;SWITCH, PUSH;EA;45,48
A7632;72914;GASKET;EA;73,85
AN960-1216;88044;WASHER,FLAT;EA;8,44
MS24665-132;65029;PIN,COTTER;EA;3,86
23032-1901;3CPE0;HUB,BODY;EA;307,73
D38999/20KD18PN;81349;CONNECTOR,RECEPTACLE,ELECTRICAL;EA;344,74
AN911-1;88044;NIPPLE,PIPE;EA;11,27
MS24694S5;96906;SCREW,MACHINE;EA;9,26
C1146;88869;SWITCH,PUSHBUT;EA;268,49
MS27641-5;96906;BEARING,BALL,AIRFRAME;EA;112,21
1308;8108;LAMP,INCANDESCENT;EA;1,85
6905;52676;BEARING,BALL,ANNULAR;EA;371,93
F6T5/D;58325;LAMP,FLUORESCE;EA;563,42
MS14104-16;81343;BEARING,PLAIN,SELF-ALIGNING;EA;356,34
A5-30;U1584;STUD,TURNLOCK FASTENER;EA;21,4
MS35489-6;96906;GROMMET,NONMETALLIC;EA;45,91
MS3470W20-41S;96906;CONNECTOR RECE;EA;206,18
AN814-4CL;88044;PLUG,MACHINE THREAD;EA;395,16
MS3126P10-6S;96906;CONNECTOR,PLUG,ELECTRICAL;EA;156,59
MS24187-D2;96906;RELAY,ELECTROM;EA;1397,11
MS51963-9;96906;SCREW;EA;19,74
MS27059-8;96906;ELBOW,TUBE TO HOSE;EA;2146,64
MS9518-15;96906;BOLT;EA;12,63
AN815-8D;88044;UNION;EA;22,66
MS35265-40;96906;SCREW;EA;15,56
MS35275-227;96906;SCREW,MACHINE;EA;61,96
MS35333-38;96906;WASHER,LOCK;EA;12,16
31710;K1479;GEAR ASSEMBLY,LIGHT;EA;5462,65
MS26574-2A;96906;CKT BREAKER;EA;158,96
16102-135;74025;BUS,CONDUCTOR;EA;492,62
23069-1236;31435;TERMINAL BOARD;EA;7185,77
MS25036-102;96906;TERMINAL,LUG;EA;42,29
MS21908-4;96906;ELBOW;EA;89,15
MS26574-1A;96906;CIRCUIT BREAKER;EA;164,91
M22759/35-24-9;81343;WIRE,ELECTRICAL,WHITE,OUTSIDE DIAMETER 0,045POL,TEMP RATING 200,0 DEG CELSIUS;EA;5,94
SA13239;17472;PACKING,PREFORMED;EA;492,48
3116033-01;16359;GASKET;EA;714,01
HK7C31-1;69370;CLAMP,QUICK,RELEASE;EA;47,42
AN939D8;88044;ELBOW BOSS;EA;40,51
MS28740-5;96906;ADPTER;EA;97,44
A-3478-1;24692;LOW STOP ROD RETAINE;EA;490,15
C3311-11;72121;BALL SCREW;EA;4195,12
A9091;20832;SPRING;EA;568,56
B232M;F0180;FIRE DETECTOR;EA;4885,96
MS24665-355;80205;CONTRAPINO;EA;7,59
SA13258-1;17472;BALL BEARING;EA;118,45
SA13258-3;72121;BALL BEARING;EA;68,14
17329;AW25$;BUSHING;EA;1952,84
270188-03;16827;PLUG ASSY;EA;432,12
S056-0047-00;06WH3;REMOTE MICROPHONE;EA;18151,82
18499;10237;SPACER ASSY,PIN AND;EA;1202,22
3A1523;25140;MOTOR,DIRECT CURRENT;EA;2722,57
AN123184;88044;RIVET,SOLID;EA;21,45
MS20470AD4-5;96906;RIVET,SOLID;EA;63,04
AN4-36A;88044;BOLT,MACHINE;EA;687,72
AN960-8;88044;WASHER FLAT;EA;1,93
NAS1149CN832R;80205;WASHER, FLAT;EA;4,55
15535;F0189;TUYAUTERIE DE FREIN;EA;6889,52
AN320-5;80205;NUT,PLAIN,SLOTTED,HEXAGON;EA;6,56
MS14144L8;80205;NUT,SELF-LOCKING,EXTENDED WASHER,HEXAGON;EA;75,28
4553;8806;LAMP,INCANDESCENT, TRANSPARENT, 250 WATTS, 28 VOLTS,;EA;114,36
AN173-5A;88044;BOLT;EA;45,37
M27267-12;81349;"HOSE,NONMETALLIC, SIZE 12, DIAMETER: INSIDE (5/8"") 0.625 IN, OUTSIDE 0.789 IN, ROUND";EA;63,02
MS3126F14-19S;96906;CONNECTOR,PLUG,ELECTRICAL;EA;255,26
MS16997-33;96906;SCREW,CAP,SOCKET HEAD;EA;21,68
A-1372;24692;BOLT,MACHINE;EA;135,08
M83519/1-3;81343;"SPLICE,CONDUCTOR, COLOR WHITE, LENGTH 0.625 IN (5/8""), HEAT SHRINKABLE SLEEVE";EA;44,99
6B 1042081;K0481;KEY TO ADJUST THE MAGNETIC COMPASS;EA;917,27
A3934;72914;WASHER;EA;518,57
23032-1910;3CPE0;PLATE DAMPENER;EA;831,28
MS20392-1C41;96906;PIN,STRAIGHT,HEADED;EA;3,09
4587;8108;LAMP, INCANDESCENT;EA;54,48
MS35206-218;96906;SCREW,MACHINE;EA;116,75
A2051;24692;BOLT,MACHINE;EA;119,91
M5086/2-6-9;81349;WIRE,ELECTRICAL, OUTSIDE DIA 0.293 IN, TEMP RATING 105.0 DEG, VOLTAGE RATING 600.0 MAXIMUM;EA;9,55
LM412-33;76005;COVER U/O PN LM412SA11 AND PN LM-412-SA21, DYNAFOCAL MOUNTING ASSEMBLY;EA;4051,14
HL22-77-5-6;73197;PIN-COLLAR ASSEMBLY;EA;260,31
AGF2-6;11583;IGNITER,SPARK,GAS TURBINE ENGINE;EA;1788,48
L22258-50-6BCL;F0111;SCREW,CLOSE TOLERANCE;EA;16,58
4A-760-21-03;S4956;SUPPOR DETECT INCEN;EA;984,79
B5194;17472;CARRIER,ACTUATOR BE;EA;1558,41
PE21059C5-5-8;S4956;SCREW;EA;35,18
14480;55635;DISCHARGER,ELECTROSTATIC;EA;325,11
MS9245-24;96906;PIN,COTTER;EA;17,46
A4312;72121;PIN, STRAIGHT, HEADLESS;EA;2430,68
751992-2;73030;BEARING,BALL,A;EA;2370,18
AN5-13A;88044;BOLT,MACHINE;EA;2,78
MS21909W5;81343;TEE,TUBE;EA;139,17
Q4597;8108;LAMP, INCANDESCENT;EA;157,93
23081-1011;3CPE0;ARMATURE,GENERATOR;EA;17236,95
AN4-14A;88044;BOLT,MACHINE;EA;32,41
A9044;34623;BREAKER ASSEMBLY,CIRCUIT;EA;17166,59
MS20426AD5-6;96906;RIVET,SOLID;EA;76,62
05-370176;3CPE0;WASHER,FLAT;EA;48,46
MS9574-06;96906;BOLT MACHINE;EA;18,6
MS16562-38;96906;PIN,SPRING;EA;19,45
980688-4;69705;ELBOW,HOSE;EA;1585,11
AN4-20A;88044;BOLT,MACHINE;EA;228,93
MS24694S55;80205;SCREW,MACHINE;EA;9,26
AN310-15;88044;NUT;EA;49,39
AN315-5R;88044;NUT,PLAIN,HEXAGON;EA;1,93
23069-1241;93953;COVER ACCESS;EA;1949,73
MS3367-1-0;96906;STRAP,TIEDOWN,ELECTRICAL COMPONENTS;EA;5,86
B5198;72121;COVER;EA;3124,7
B5958;17472;TRANSMITTER,POSITION;EA;58922,42
AN3-14A;88044;BOLT,MACHINE;EA;1,16
MS24693-C30;88154;SCREW,MACHINE;EA;7,72
907-12803;99866;TAPE,REFLECTIVE;EA;5479,86
MS9518-14;96906;BOLT,MACHINE;EA;37,66
AN4-6A;88044;BOLT,MACHINE;EA;1,85
MS27039-1-11;96906;SCREW,MACHINE;EA;9,26
AN960-4L;88044;WASHER,FLAT;EA;3,55
AN515-8R10;88044;SCREW,MACHINE;EA;3,09
MS21260L4RH;96906;TERMINAL,WIRE ROPE,STUD;EA;51,01
65-0151-23;72914;LIGHT,INDICATOR;EA;8472,66
MS27060-8;96906;ELBOW,TUBE TO HOSE;EA;1530,87
HL22-5-9;73197;PIN-RIVET;EA;13,12
NFP-80;0U3Y7;POLISH,AUTOMOBILE;EA;79,56
MS3340-1-9;96906;BRACKET,BULKHEAD;EA;4,82
MS20470AD5-5;96906;RIVET,SOLID;EA;104,79
MS27055-12;96906;ELBOW,TUBE TO HOSE;EA;1100,91
170096-05;16827;VALVE,SAFETY RELIEF,OXYGEN SYSTEM;EA;12732,14
D38999/26FE35SN;81349;CONNECTOR,PLUG,ELECTRICAL;EA;233,58
AN3-33A;88044;BOLT,MACHINE;EA;277,8
AN970-3;10630;WASHER, FLAT;EA;72,89
5040-320001FC2;22457;PANEL SANDWICH;EA;12736,47
L23112-40UB;F0111;WASHER,RECESSED;EA;8,49
205-040-187-3;97499;GASKET;EA;99,34
MS35191-274;96906;SCREW,MACHINE;EA;39,08
AN960-1216L;88044;WASHER,FLAT;EA;9,11
174097-80;16827;MASK ASSY - OXYGEN;EA;1466,13
14368;AW25$;AXE;EA;682,8
B-6245R-301;72914;LIGHT,DOME, LENS COLOR RED, 1 FLAT, RECTANGULAR, VOLTAGE VOLTS 28.0 DC, G-5 LAMP;EA;1350,89
R20702-2;13636;GASKET;EA;362,46
6AS25;91929;SWITCH,ELECTRICAL;EA;433,8
MS25036-123;81343;TERMINAL,LUG;EA;50,39
MS51957-33;96906;SCREW,MACHINE;EA;29,22
AN3-13A;88044;BOLT,MACHINE;EA;1,82
AN960-1416;88044;WASHER;EA;6,83
15205A;F6137;CONNECT BAR;EA;7762,38
10-10003;25693;CLAMP,SENSOR;EA;151,79
AN3-32A;88044;BOLT MACHINE;EA;6,87
JS5;91929;ADAPTER,SWITCH ACTUATOR;EA;27,01
A-1305;24692;BALANCE WEIGHT;EA;36,43
14469;F6137;THREADED PIN;EA;696,69
LM412-43;76005;GASKET;EA;914,61
AN5812-1;88044;PITOT TUBE;EA;26725,66
MS20426AD4-4;80205;RIVET,SOLID;EA;132,03
AN125403;88044;RIVET,SOLID;EA;1,52
VS-755-GOVT;39BV2;VALVE,PNEUMATIC TIRE;EA;81,57
ASNA0113-32ADL;F0210;WASHER,FLAT;EA;49,63
MS25253-1;96906;SWITCH,SENSITIVE;EA;55,17
MS25041-4;96906;LIGHT,INDICATOR, LENS COLOR AMBER SINGLE LIGHT, LENGTH 1.750 IN, DIAMETER 0.650 IN, WITHOUT LAMP;EA;120,42
MS25219-13-1683;96906;LIGHT,NAVIGATIONAL,AIRCRAFT;EA;782,6
MS20392-1C19;96906;PIN,STRAIGHT,HEADED;EA;30,28
MS3116P10-6S;96906;CONNECTOR,PLUG,ELEC;EA;109,84
MS24665-214;96906;PIN COTTER;EA;6,07
MS87018-4;96906;ADAPTER;EA;190,64
MS9226-01;96906;WIRE,NONELECTRICAL (ROUND, NICKEL ALLOY, AMS5687, DIAMETER 0.015 IN AND 0.016 IN LENGTH 1422 FEET);EA;268,9
MS24665-361;96906;PIN,COTTER;EA;7,59
MS9518-13;96906;BOLT,MACHINE;EA;10,5
MS24694S48;96906;SCREW,MACHINE;EA;9,11
MS51958-45;96906;SCREW,MACHINE;EA;47,28
MS51963-1;96906;SETSCREW;EA;55,33
MS21919WDF2;96906;CLAMP,LOOP;EA;6,68
MS27216-2;96906;SWITCH,SENSITIVE;EA;1289,25
MS21260L3RH;96906;TERMINAL,WIRE ROPE,STUD;EA;47,28
MS21347-331;96906;SWITCH,TOGGLE;EA;1090,95
MS21921-4C;96906;NUT,TUBE COUPLING;EA;45,38
AN365D1032A;88044;PORCA FRENO;EA;0,91
AN501A10-5;88044;SCREW MACHINE;EA;1,14
AN960D4;88044;WASHER FLAT;EA;3,34
AN207DPP3MILG3278;88044;BEARING,BALL,AIRFRAME;EA;30,36
AN3-24A;88044;BOLT;EA;1,29
AN3-7A;88044;BOLT,MACHINE;EA;47,69
AN501A10-4;88044;SCREW,MACHINE;EA;3,42
NAS1149D0316H;80205;WASHER FLAT;EA;5,31
AN525-10R6;88044;SCREW MACHINE;EA;2,73
AN4-13A;88044;BOLT MACHINE;EA;31,87
MS24665-361;81348;PIN,COTTER;EA;7,59
M7928/5-2;81343;SPLICE,CONDUCTOR;EA;121,92
M83798/3-12;81349;ELBOW,TUBE TO HOSE;EA;544,98
BACS21EE4W;81205;STUD ASSEMBLY,TURNLOCK FASTENER;EA;40,83
MS21916D6-4;81343;REDUCER,BOSS;EA;44,85
MS27648-33;81343;BEARING,BALL,A;EA;655,58
MS3367-3-9;81343;STRAP,TIE DOWN;EA;54,49
MS27645-3A;81343;BEARING,BALL,AIRFRAME;EA;173,88
MS28775-215;81343;PACKING;EA;1,75
KP3AK;21335;BEARING,BALL,AIRFRAME;EA;89,02
32480-001;74025;TOOL KIT,BATTERY;EA;2846,58
23147-003;74025;COVER,BATTERY BOX;EA;8576,31
30-0218B2;19565;LENS,LIGHT, COLOR GREEN;EA;2893,67
HL2277-5-8;73197;PIN-RIVET;EA;35,6
COML;86887;SCREW,CAP,SOCKET HEAD;EA;56,08
23032-1586;31435;CLAMP,LOOP;EA;459,66
C-1301-9S;24692;CLAMP,SHOULDER,SING;EA;17030,2
1683;8108;LAMP,INCANDESCENT;EA;38,02
DI-1233D-OL;7406;SINK VALVE;EA;338,21
A4-307;17472;CORK JOINT;EA;294,08
SA13169;17472;RING,RETAINING;EA;341,52
A3822;17472;DISK ASSEMBLY,DRIVI;EA;5509,54
MS51957-33;1C762;SCREW,MACHINE;EA;28,76
NAS517-3-10;80205;SCREW,MACHINE;EA;82,03
F6633-8;R1120;ELBOW,TUBE TO HOSE;EA;707,77
MS24677-15;360;SCREW,CAP,SOCKET HEAD;EA;4,4
23032-2710;3CPE0;BACK PLATE;EA;402,69
58701;FAQB2;RETAINER,PACKING;EA;1830,14
MS35265-12;0ZBE8;SCREW,MACHINE;EA;50,32
02W1507-231;731;ELEMENT FILTER;EA;1908,43
MCF233;K0481;CABLE ASSEMBLY,COAXIAL, W4;EA;2845,97
22759;75250;SHAFT;EA;11991,02
MS25036-146;81343;TERMINAL LUG;EA;39,08
MS21916D4-3;96906;REDUCER,BOSS;EA;75,33
MS27039-1-09;96906;SCREW WASHER;EA;9,11
MS16998-33;96906;SCREW,CAP,SOCKET HEAD;EA;8,2
15288;F6137;COVER,ACCESS;EA;1266,39
MS21902D10;96906;NIPPLE, BOSS;EA;66,65
AN960-516L;88044;WASHER,FLAT;EA;7,64
MS35275-243;96906;SCREW,MACHINE;EA;145,22
M83519/2-8;81349;SPLICE;EA;281
MS35266-65;96906;SCREW,MACHINE;EA;40,83
MS35275-245;96906;SCREW,MACHINE;EA;152,4
MS16625-1090;96906;RING, RETAINING;EA;7,13
05-346371;31435;SCREW,MACHINE;EA;2,96
M5086/1-22-9;81349;WIRE,ELECTRICAL, COLOR WHITE, OUTSIDE DIA 0.068 (1/16) IN, 22 AWG, TEMP RATING 105.0 DEG CELSIUS;EA;0,91
NAS1169DD10;86928;WASHER,FINISHING;EA;0,62
MS9518-06;81343;BOLT,MACHINE;EA;5,08
66423;93835;SPRING,HELICAL;EA;243,39
NAS146DH14;80205;BOLT,INTERNAL WRENCHING;EA;37,19
16550;S4956;ALAVANCA;EA;1176,33
LM412-32;76005;HOUSING U/O PN LM412SA11 AND PN LM-412-SA21, DYNAFOCAL MOUNTING ASSEMBLY;EA;5540,41
A1373;FA1D6;NUT,SELF-LOCKING,HEXAGON;EA;25,8
AN310-7;80205;NUT,PLAIN,CASTELLATED,HEXAGON;EA;8,95
MS3126P12-8S;96906;CONNECTOR,PLUG,ELECTRICAL;EA;213,94
JANTXV1N5416;81349;SEMICONDUCTOR DEVICE,DIODE;EA;56,01
A-1851-T;24692;BEARING,BALL,THRUST;EA;3618,71
AN4-5A;88044;BOLT,MACHINE;EA;9,41
8-51-06RC8-33S;F0225;CONNECTOR,PLUG,ELECTRICAL;EA;1006,94
N0R2-141-05-4;A2142;WASHER;EA;27,44
MS27039-0806;80205;SCREW,MACHINE;EA;52,98
14-97500-26;28349;ROD;EA;3290,29
MS9573-03;96906;SCREW;EA;152,17
AS3209-139;FB011;PACKING,PREFORMED;EA;23,37
MS9518-17;96906;BOLT,MACHINE;EA;59,2
MS9574-05;96906;BOLT,MACHINE;EA;19,06
MS9321-08;96906;WASHER,FLAT;EA;0,62
N0R2-021-00-6-19PF;A2142;BOLT,MACHINE;EA;1104,24
12338;F6137;SPRING,HELICAL,COMPRESSION;EA;196,99
MS20995C32;96906;WIRE,NONELECTRICAL, ROUND, CRESS, DIA 0.032 IN, LENGTH 365 FT;EA;33,01
413-610-5F;F0214;SWITCH,TOGGLE;EA;7176,2
30-0218-2;72914;LIGHT,NAVIGATIONAL,AIRCRAFT, RIGHT HAND WING, COLOR GREEN, GLASS LENS, 26,5 VOLTS DC;EA;5464,26
AN3C3A;88044;BOLT,MACHINE;EA;1,59
18499;F6137;SCREW,EXTERNALLY RELIEVED BODY;EA;402,73
AN5-6A;88044;BOLT;EA;151,03
A-76;83740;BATTERY,NONRECHARGEABLE 1,5VOLTS;EA;4,86
56922;75250;PACKING NUT;EA;4790,01
2522114;59501;LEVER,FUEL CONTROL;EA;11422,51
488-8D1-0;86768;VALVE,CHECK;EA;56283,91
MS25182-2;96906;CONNECTOR,PLUG,ELECTRICAL;EA;929,83
M81969/1-02;81349;INSERTER AND REMOVER,ELECTRICAL CONTACT;EA;35,18
B1901;24692;ARM REVERSING;EA;3263,38
MS21919WDF8;96906;CLAMP LOOP;EA;9,56
09168P-31;71483;MICROPHONE,CAPACITOR;EA;390,01
A1306-1;24692;GASKET BLADE CLAMP;EA;16,43
M39029/77-428;81349;CONTACT, ELECT;EA;46,65
AN123315;81343;RIVET,SOLID;EA;58,66
MS26574-5A;96906;CIRCUIT BREAKER;EA;156,57
ZV3335;K0481;LAMP,INCANDESCENT;EA;844,26
AN3-12A;88044;BOLT MACHINE;EA;5,24
MS9530-14;81343;BOLT,MACHINE;EA;32,1
AN824-4;88044;TEE,TUBE;EA;29,77
5105-18;79136;PUSH ON NUT;EA;7,13
A-321;24692;SCREW,SOCKET-CLAMP;EA;30,66
16102-007;74025;BUS,CONDUCTOR;EA;27,7
121-751-21-13;S4956;ANEL VEDACAO;EA;38,02
3510-025;F0214;WASHER,FLAT;EA;9,11
02-15777-01;99167;BEARING;EA;326,34
AN819-8C;88044;SLEEVE;EA;0,99
B3897-1;24692;PLUG,PROTECTIVE,DUST AND MOISTURE SEAL;EA;7,21
MS9193-04;1WL60;ADAPTER,STRAIGHT,TUBE TO BOSS;EA;33,85
MS21916D8-6;96906;REDUCER, BOSS;EA;47,28
L23310-30-25AAL;F0111;CONTRAPINO;EA;2,05
MS9518- 32;96906;BOLT;EA;44,09
858015-09;F0349;RING,RETAINING;EA;26,79
P26043;U1604;NUT;EA;78,24
422201E5942;14242;CLAMP, LOOP;EA;354,8
200SGL1009-3;95270;BRUSH,COMPOSITION;EA;689,48
MS20426AD4-7;96906;RIVET,SOLID;EA;75,39
1004;3T949;GLASS FLAT RIGHT;EA;7318,43
AN924-4D;88044;LOCKNUT,TUBE FITTING;EA;35,75
MS21042L5;96906;NUT,SELF-LOCKI;EA;14,51
MS3320-7-1/2;82647;CIRCUIT BREAKE;EA;816,67
MBS84;K5294;CABLE ASSEMBLY,RADIO FREQUENCY;EA;5116
MB52;K5294;CONNECTOR,GAUGE,FUE;EA;3728,81
MBS68;K5294;CABLE ASSEMBLY,RADIO FREQUENCY;EA;3069,6
MCU18;K5294;COAXIAL CABLE;EA;4591,29
MCU84;K5294;CABLE ASSEMBLY,RADIO FREQUENCY;EA;5116
11986;F0189;RETENTOR;EA;343,33
P14914;K5294;JUNTA;EA;110,63
MB54;K5294;CONNECTOR,GAUGE,FUE;EA;1228,4
MCU54;K5294;CABLE ASSEMBLY;EA;3838,37
29F12821;K6712;BOLT;EA;1589,51
MBS18;K5294;CABLE ASSEMBLY,RADIO FREQUENCY;EA;4115,76
MCU43;K5294;CABLE COAXIAL;EA;1563,53
MBS43;K5294;CABLE ASSEMBLY,RADIO FREQUENCY;EA;1816,22
MCU22;K5294;CABLE COAXIAL;EA;5116
05-341310;3CPE0;SCREW,CAP,SOCKET HEAD;EA;31,43
M81824/1-2;81343;SPLICE,CONDUCTOR;EA;414,34
MS27240-1;96906;SWITCH, SENSITIVE;EA;1134,63
